Latitude;Longitude;Speed [km/h];Distance [m];Time [s]
-22.816153;-46.928155;0.055560;0.000000;7968.077901
-22.816153;-46.928155;0.074080;0.002065;7968.192569
-22.816153;-46.928155;0.018520;0.003376;7968.294500
-22.816153;-46.928155;0.018520;0.004113;7968.437841
-22.816153;-46.928153;0.037040;0.004887;7968.538106
-22.816153;-46.928153;0.037040;0.005916;7968.638099
-22.816153;-46.928153;0.037040;0.007135;7968.756655
-22.816153;-46.928153;0.037040;0.008427;7968.882160
-22.816153;-46.928153;0.092600;0.010068;7968.973334
-22.816153;-46.928153;0.092600;0.013251;7969.097049
-22.816153;-46.928152;0.018520;0.014793;7969.197003
-22.816153;-46.928153;0.129640;0.017107;7969.309429
-22.816153;-46.928153;0.129640;0.021119;7969.420853
-22.816153;-46.928152;0.018520;0.023139;7969.519008
-22.816153;-46.928152;0.018520;0.023653;7969.618963
-22.816153;-46.928152;0.018520;0.024245;7969.733933
-22.816153;-46.928152;0.018520;0.024750;7969.832219
-22.816153;-46.928152;0.055560;0.025779;7969.932232
-22.816153;-46.928152;0.055560;0.027696;7970.056410
-22.816153;-46.928152;0.018520;0.028953;7970.178639
-22.816153;-46.928152;0.018520;0.029649;7970.313781
-22.816153;-46.928152;0.018520;0.030032;7970.388344
-22.816153;-46.928152;0.018520;0.030680;7970.514214
-22.816153;-46.928152;0.037040;0.031448;7970.613835
-22.816153;-46.928150;0.037040;0.032603;7970.726067
-22.816153;-46.928150;0.037040;0.033744;7970.836955
-22.816153;-46.928150;0.018520;0.034597;7970.947508
-22.816153;-46.928150;0.018520;0.035319;7971.087906
-22.816153;-46.928150;0.037040;0.036478;7971.238030
-22.816152;-46.928148;0.055560;0.037503;7971.317761
-22.816152;-46.928148;0.055560;0.039197;7971.427502
-22.816152;-46.928148;0.055560;0.040741;7971.527535
-22.816152;-46.928148;0.055560;0.042284;7971.627553
-22.816152;-46.928148;0.037040;0.043787;7971.744359
-22.816152;-46.928148;0.037040;0.044957;7971.858053
-22.816152;-46.928147;0.055560;0.046346;7971.966111
-22.816152;-46.928147;0.055560;0.047887;7972.065950
-22.816152;-46.928147;0.018520;0.049162;7972.189887
-22.816152;-46.928145;0.037040;0.050107;7972.312341
-22.816152;-46.928145;0.037040;0.051424;7972.440274
-22.816152;-46.928145;0.037040;0.052181;7972.513921
-22.816152;-46.928145;0.037040;0.053297;7972.622338
-22.816152;-46.928143;0.092600;0.055244;7972.730496
-22.816152;-46.928143;0.092600;0.058163;7972.843973
-22.816152;-46.928143;0.018520;0.059861;7972.953975
-22.816152;-46.928143;0.018520;0.060499;7973.078107
-22.816152;-46.928143;0.074080;0.061834;7973.181893
-22.816152;-46.928143;0.074080;0.064065;7973.290305
-22.816152;-46.928143;0.092600;0.066561;7973.398142
-22.816152;-46.928143;0.074080;0.068882;7973.498372
-22.816152;-46.928143;0.074080;0.071239;7973.612927
-22.816152;-46.928143;0.055560;0.073359;7973.730642
-22.816152;-46.928143;0.055560;0.074905;7973.830815
-22.816152;-46.928143;0.055560;0.076975;7973.964945
-22.816152;-46.928143;0.055560;0.078056;7974.035018
-22.816152;-46.928143;0.111120;0.080373;7974.135117
-22.816152;-46.928143;0.111120;0.083460;7974.235125
-22.816152;-46.928143;0.074080;0.086429;7974.350542
-22.816152;-46.928143;0.074080;0.088493;7974.450860
-22.816152;-46.928142;0.129640;0.092271;7974.584382
-22.816152;-46.928142;0.129640;0.094958;7974.658974
-22.816152;-46.928143;0.111120;0.098654;7974.769516
-22.816152;-46.928143;0.111120;0.101860;7974.873387
-22.816152;-46.928142;0.074080;0.105251;7975.005235
-22.816152;-46.928142;0.037040;0.107371;7975.142597
-22.816152;-46.928142;0.037040;0.108162;7975.219455
-22.816152;-46.928142;0.037040;0.109358;7975.335707
-22.816152;-46.928142;0.037040;0.110643;7975.460606
-22.816152;-46.928142;0.018520;0.111415;7975.560578
-22.816152;-46.928142;0.018520;0.111957;7975.665958
-22.816152;-46.928142;0.074080;0.113296;7975.770038
-22.816152;-46.928142;0.037040;0.115394;7975.906026
-22.816152;-46.928142;0.037040;0.116511;7976.014603
-22.816152;-46.928142;0.074080;0.118361;7976.134456
-22.816152;-46.928142;0.074080;0.120418;7976.234396
-22.816152;-46.928142;0.092600;0.122906;7976.341885
-22.816152;-46.928142;0.092600;0.125513;7976.443244
-22.816150;-46.928142;0.018520;0.127059;7976.543373
-22.816150;-46.928142;0.018520;0.127629;7976.654167
-22.816150;-46.928142;0.092600;0.129282;7976.761306
-22.816150;-46.928142;0.092600;0.131855;7976.861324
-22.816150;-46.928142;0.148160;0.136184;7976.990804
-22.816150;-46.928142;0.148160;0.140740;7977.101494
-22.816150;-46.928142;0.092600;0.144876;7977.225177
-22.816150;-46.928140;0.018520;0.146668;7977.341326
-22.816150;-46.928140;0.018520;0.147340;7977.471955
-22.816150;-46.928142;0.129640;0.149443;7977.574157
-22.816150;-46.928140;0.055560;0.152497;7977.692863
-22.816150;-46.928140;0.055560;0.154178;7977.801811
-22.816150;-46.928140;0.111120;0.157248;7977.934404
-22.816150;-46.928140;0.111120;0.160644;7978.044445
-22.816150;-46.928140;0.074080;0.162955;7978.134259
-22.816150;-46.928140;0.074080;0.165198;7978.243298
-22.816148;-46.928140;0.074080;0.167556;7978.357851
-22.816148;-46.928140;0.074080;0.169900;7978.471782
-22.816148;-46.928140;0.037040;0.171488;7978.574700
-22.816148;-46.928140;0.037040;0.172784;7978.700634
-22.816148;-46.928140;0.111120;0.175114;7978.813856
-22.816148;-46.928140;0.111120;0.177522;7978.891866
-22.816148;-46.928140;0.055560;0.179843;7978.992144
-22.816148;-46.928140;0.111120;0.182736;7979.117108
-22.816148;-46.928140;0.111120;0.185732;7979.214152
-22.816148;-46.928140;0.018520;0.187804;7979.329244
-22.816148;-46.928140;0.018520;0.188377;7979.440697
-22.816148;-46.928140;0.037040;0.189155;7979.541491
-22.816148;-46.928140;0.037040;0.190353;7979.657941
-22.816148;-46.928140;0.055560;0.191661;7979.759613
-22.816148;-46.928140;0.055560;0.193207;7979.859809
-22.816147;-46.928140;0.111120;0.195632;7979.964553
-22.816147;-46.928140;0.111120;0.198758;7980.065830
-22.816147;-46.928140;0.037040;0.201564;7980.202179
-22.816147;-46.928140;0.074080;0.203109;7980.302306
-22.816147;-46.928140;0.074080;0.205549;7980.420893
-22.816147;-46.928140;0.074080;0.207452;7980.513343
-22.816147;-46.928140;0.129640;0.211006;7980.638948
-22.816147;-46.928140;0.092600;0.214191;7980.742130
-22.816147;-46.928140;0.092600;0.216960;7980.849803
-22.816147;-46.928138;0.018520;0.218771;7980.967136
-22.816147;-46.928138;0.018520;0.219285;7981.067088
-22.816147;-46.928138;0.037040;0.220067;7981.168352
-22.816147;-46.928138;0.037040;0.221198;7981.278314
-22.816147;-46.928138;0.018520;0.222156;7981.402477
-22.816147;-46.928138;0.037040;0.222957;7981.506224
-22.816147;-46.928138;0.037040;0.224252;7981.632135
-22.816147;-46.928138;0.037040;0.225140;7981.718364
-22.816147;-46.928138;0.055560;0.226550;7981.828068
-22.816145;-46.928137;0.018520;0.227988;7981.967790
-22.816145;-46.928137;0.018520;0.228399;7982.047619
-22.816145;-46.928137;0.037040;0.229340;7982.169660
-22.816145;-46.928137;0.037040;0.230398;7982.272400
-22.816145;-46.928137;0.092600;0.232729;7982.401914
-22.816145;-46.928137;0.092600;0.235176;7982.497028
-22.816145;-46.928138;0.148160;0.238887;7982.608020
-22.816145;-46.928137;0.092600;0.242698;7982.721965
-22.816145;-46.928137;0.092600;0.246397;7982.865770
-22.816145;-46.928137;0.092600;0.248224;7982.936793
-22.816145;-46.928137;0.092600;0.251316;7983.057028
-22.816145;-46.928137;0.129640;0.255004;7983.176506
-22.816145;-46.928137;0.092600;0.258996;7983.305839
-22.816145;-46.928137;0.092600;0.261892;7983.418402
-22.816145;-46.928137;0.074080;0.264369;7983.525431
-22.816145;-46.928137;0.074080;0.266945;7983.650590
-22.816145;-46.928137;0.037040;0.268488;7983.750594
-22.816145;-46.928137;0.037040;0.269545;7983.853323
-22.816143;-46.928138;0.092600;0.271575;7983.966068
-22.816143;-46.928138;0.092600;0.274153;7984.066285
-22.816143;-46.928138;0.111120;0.277315;7984.178027
-22.816143;-46.928138;0.111120;0.280518;7984.281818
-22.816143;-46.928140;0.055560;0.283077;7984.392362
-22.816143;-46.928140;0.055560;0.284465;7984.482240
-22.816143;-46.928140;0.074080;0.287323;7984.640988
-22.816143;-46.928140;0.074080;0.288906;7984.717925
-22.816143;-46.928140;0.018520;0.290197;7984.818265
-22.816143;-46.928140;0.018520;0.290737;7984.923284
-22.816143;-46.928142;0.092600;0.292726;7985.052147
-22.816143;-46.928142;0.074080;0.295267;7985.161922
-22.816143;-46.928142;0.074080;0.297761;7985.283148
-22.816143;-46.928142;0.092600;0.300143;7985.386017
-22.816143;-46.928142;0.092600;0.303252;7985.506900
-22.816143;-46.928142;0.129640;0.306342;7985.607008
-22.816143;-46.928142;0.129640;0.310480;7985.721913
-22.816143;-46.928142;0.018520;0.313109;7985.849687
-22.816143;-46.928143;0.074080;0.314456;7985.954411
-22.816143;-46.928143;0.074080;0.316747;7986.065723
-22.816143;-46.928143;0.018520;0.318522;7986.203756
-22.816143;-46.928143;0.018520;0.318966;7986.290018
-22.816143;-46.928145;0.203720;0.322783;7986.413680
-22.816143;-46.928145;0.148160;0.328379;7986.528178
-22.816143;-46.928145;0.148160;0.332965;7986.639608
-22.816143;-46.928145;0.055560;0.336426;7986.761944
-22.816143;-46.928145;0.055560;0.337811;7986.851687
-22.816143;-46.928147;0.037040;0.339205;7986.960037
-22.816143;-46.928147;0.037040;0.340357;7987.072058
-22.816142;-46.928147;0.037040;0.341487;7987.181887
-22.816142;-46.928147;0.037040;0.342556;7987.285739
-22.816142;-46.928147;0.055560;0.343879;7987.388624
-22.816142;-46.928147;0.055560;0.345630;7987.502106
-22.816142;-46.928147;0.018520;0.346783;7987.614101
-22.816142;-46.928147;0.074080;0.348417;7987.741160
-22.816142;-46.928147;0.074080;0.350657;7987.850004
-22.816142;-46.928147;0.055560;0.352519;7987.953436
-22.816142;-46.928147;0.055560;0.354316;7988.069881
-22.816142;-46.928147;0.074080;0.356190;7988.173941
-22.816142;-46.928147;0.074080;0.358664;7988.294194
-22.816142;-46.928147;0.129640;0.362265;7988.421463
-22.816142;-46.928147;0.129640;0.365860;7988.521288
-22.816142;-46.928147;0.055560;0.368012;7988.604958
-22.816142;-46.928147;0.055560;0.369679;7988.712971
-22.816142;-46.928147;0.074080;0.371720;7988.826299
-22.816142;-46.928147;0.166680;0.375126;7988.928163
-22.816142;-46.928147;0.166680;0.380948;7989.053918
-22.816142;-46.928147;0.055560;0.384459;7989.167661
-22.816142;-46.928147;0.055560;0.385731;7989.250029
-22.816142;-46.928147;0.148160;0.389498;7989.383194
-22.816142;-46.928147;0.148160;0.393201;7989.473165
-22.816142;-46.928147;0.148160;0.396866;7989.562221
-22.816142;-46.928147;0.148160;0.401822;7989.682634
-22.816142;-46.928147;0.037040;0.404797;7989.798312
-22.816142;-46.928147;0.037040;0.405822;7989.897900
-22.816142;-46.928147;0.074080;0.407505;7990.006957
-22.816142;-46.928147;0.074080;0.410007;7990.128541
-22.816142;-46.928147;0.037040;0.411551;7990.228589
-22.816142;-46.928147;0.018520;0.412498;7990.351227
-22.816142;-46.928147;0.018520;0.412982;7990.445451
-22.816142;-46.928147;0.037040;0.413943;7990.569936
-22.816142;-46.928147;0.037040;0.415018;7990.674414
