Front Left Wheel Speed [RPM];Front Right Wheel Speed [RPM];Average Speed [RPM];Average Speed (aprox.) [km/h];Time [s];
0.0;0.0;0.0;0.0;0.0005500316619873047;
0.0;0.0;0.0;0.0;0.01073312759399414;
0.0;0.0;0.0;0.0;0.020766019821166992;
0.0;0.0;0.0;0.0;0.03087615966796875;
0.0;0.0;0.0;0.0;0.04098820686340332;
0.0;0.0;0.0;0.0;0.05109906196594238;
0.0;0.0;0.0;0.0;0.061231136322021484;
0.0;0.0;0.0;0.0;0.07133102416992188;
0.0;0.0;0.0;0.0;0.08144116401672363;
0.0;0.0;0.0;0.0;0.09154105186462402;
0.0;0.0;0.0;0.0;0.10210418701171875;
0.0;0.0;0.0;0.0;0.11221003532409668;
0.0;0.0;0.0;0.0;0.12256002426147461;
0.0;0.0;0.0;0.0;0.1326432228088379;
0.0;0.0;0.0;0.0;0.14250516891479492;
0.0;0.0;0.0;0.0;0.15302205085754395;
0.0;0.0;0.0;0.0;0.16300415992736816;
0.0;0.0;0.0;0.0;0.17300105094909668;
0.0;0.0;0.0;0.0;0.18301701545715332;
0.0;0.0;0.0;0.0;0.19307422637939453;
0.0;0.0;0.0;0.0;0.20331406593322754;
0.0;0.0;0.0;0.0;0.21332311630249023;
0.0;0.0;0.0;0.0;0.22339105606079102;
0.0;0.0;0.0;0.0;0.23339319229125977;
0.0;0.0;0.0;0.0;0.24356603622436523;
0.0;0.0;0.0;0.0;0.25347208976745605;
0.0;0.0;0.0;0.0;0.26386022567749023;
0.0;0.0;0.0;0.0;0.27353501319885254;
0.0;0.0;0.0;0.0;0.2836430072784424;
0.0;0.0;0.0;0.0;0.29375720024108887;
0.0;0.0;0.0;0.0;0.3038671016693115;
0.0;0.0;0.0;0.0;0.3139760494232178;
0.0;0.0;0.0;0.0;0.32408714294433594;
0.0;0.0;0.0;0.0;0.33420419692993164;
0.0;0.0;0.0;0.0;0.34430813789367676;
0.0;0.0;0.0;0.0;0.35442614555358887;
0.0;0.0;0.0;0.0;0.36492204666137695;
0.0;0.0;0.0;0.0;0.3747260570526123;
0.0;0.0;0.0;0.0;0.3847651481628418;
0.0;0.0;0.0;0.0;0.39486217498779297;
0.0;0.0;0.0;0.0;0.40497612953186035;
0.0;0.0;0.0;0.0;0.4151020050048828;
0.0;0.0;0.0;0.0;0.4252002239227295;
0.0;0.0;0.0;0.0;0.43531012535095215;
0.0;0.0;0.0;0.0;0.44542407989501953;
0.0;0.0;0.0;0.0;0.45553016662597656;
0.0;0.0;0.0;0.0;0.4656381607055664;
0.0;0.0;0.0;0.0;0.4757530689239502;
0.0;0.0;0.0;0.0;0.48606014251708984;
0.0;0.0;0.0;0.0;0.49640607833862305;
0.0;0.0;0.0;0.0;0.5063412189483643;
0.0;0.0;0.0;0.0;0.5162382125854492;
0.0;0.0;0.0;0.0;0.5263030529022217;
0.0;0.0;0.0;0.0;0.5364210605621338;
0.0;0.0;0.0;0.0;0.5465240478515625;
0.0;0.0;0.0;0.0;0.5566370487213135;
0.0;0.0;0.0;0.0;0.5667870044708252;
0.0;0.0;0.0;0.0;0.5769670009613037;
0.0;0.0;0.0;0.0;0.587158203125;
0.0;0.0;0.0;0.0;0.5973100662231445;
0.0;0.0;0.0;0.0;0.6074872016906738;
0.0;0.0;0.0;0.0;0.6176741123199463;
0.0;0.0;0.0;0.0;0.6278481483459473;
0.0;0.0;0.0;0.0;0.6379520893096924;
0.0;0.0;0.0;0.0;0.648064136505127;
0.0;0.0;0.0;0.0;0.6583530902862549;
0.0;0.0;0.0;0.0;0.668053150177002;
0.0;0.0;0.0;0.0;0.6781711578369141;
0.0;0.0;0.0;0.0;0.688439130783081;
0.0;0.0;0.0;0.0;0.698674201965332;
0.0;0.0;0.0;0.0;0.7086820602416992;
0.0;0.0;0.0;0.0;0.7184171676635742;
0.0;0.0;0.0;0.0;0.7285211086273193;
0.0;0.0;0.0;0.0;0.7387080192565918;
0.0;0.0;0.0;0.0;0.7488691806793213;
0.0;0.0;0.0;0.0;0.758857011795044;
0.0;0.0;0.0;0.0;0.768963098526001;
0.0;0.0;0.0;0.0;0.7790741920471191;
0.0;0.0;0.0;0.0;0.7891840934753418;
0.0;0.0;0.0;0.0;0.7993040084838867;
0.0;0.0;0.0;0.0;0.8094100952148438;
0.0;0.0;0.0;0.0;0.8197181224822998;
0.0;0.0;0.0;0.0;0.8296270370483398;
0.0;0.0;0.0;0.0;0.8397409915924072;
0.0;0.0;0.0;0.0;0.8498480319976807;
0.0;0.0;0.0;0.0;0.85996413230896;
0.0;0.0;0.0;0.0;0.8700671195983887;
0.0;0.0;0.0;0.0;0.880183219909668;
0.0;0.0;0.0;0.0;0.8903031349182129;
0.0;0.0;0.0;0.0;0.9004030227661133;
0.0;0.0;0.0;0.0;0.9105150699615479;
0.0;0.0;0.0;0.0;0.920626163482666;
0.0;0.0;0.0;0.0;0.9307332038879395;
0.0;0.0;0.0;0.0;0.9410781860351562;
0.0;0.0;0.0;0.0;0.9511620998382568;
0.0;0.0;0.0;0.0;0.9612669944763184;
0.0;0.0;0.0;0.0;0.9713830947875977;
0.0;0.0;0.0;0.0;0.981499195098877;
0.0;0.0;0.0;0.0;0.9915730953216553;
0.0;0.0;0.0;0.0;1.0016810894012451;
0.0;0.0;0.0;0.0;1.0116159915924072;
0.0;0.0;0.0;0.0;1.021733045578003;
0.0;0.0;0.0;0.0;1.0318450927734375;
0.0;0.0;0.0;0.0;1.041952133178711;
0.0;0.0;0.0;0.0;1.0520601272583008;
0.0;0.0;0.0;0.0;1.0623760223388672;
0.0;0.0;0.0;0.0;1.0724990367889404;
0.0;0.0;0.0;0.0;1.082813024520874;
0.0;0.0;0.0;0.0;1.09291410446167;
0.0;0.0;0.0;0.0;1.1032531261444092;
0.0;0.0;0.0;0.0;1.1132731437683105;
0.0;0.0;0.0;0.0;1.1232562065124512;
0.0;0.0;0.0;0.0;1.1335391998291016;
0.0;0.0;0.0;0.0;1.143550157546997;
0.0;0.0;0.0;0.0;1.1536200046539307;
0.0;0.0;0.0;0.0;1.1638150215148926;
0.0;0.0;0.0;0.0;1.1736021041870117;
0.0;0.0;0.0;0.0;1.1836771965026855;
0.0;0.0;0.0;0.0;1.1936922073364258;
0.0;0.0;0.0;0.0;1.2037250995635986;
0.0;0.0;0.0;0.0;1.2138381004333496;
0.0;0.0;0.0;0.0;1.2239491939544678;
0.0;0.0;0.0;0.0;1.23405122756958;
0.0;0.0;0.0;0.0;1.244168996810913;
0.0;0.0;0.0;0.0;1.254289150238037;
0.0;0.0;0.0;0.0;1.2647180557250977;
0.0;0.0;0.0;0.0;1.274501085281372;
0.0;0.0;0.0;0.0;1.2846150398254395;
0.0;0.0;0.0;0.0;1.2947211265563965;
0.0;0.0;0.0;0.0;1.304840087890625;
0.0;0.0;0.0;0.0;1.314946174621582;
0.0;0.0;0.0;0.0;1.325059175491333;
0.0;0.0;0.0;0.0;1.335170030593872;
0.0;0.0;0.0;0.0;1.345285177230835;
0.0;0.0;0.0;0.0;1.3553872108459473;
0.0;0.0;0.0;0.0;1.365509033203125;
0.0;0.0;0.0;0.0;1.3756110668182373;
0.0;0.0;0.0;0.0;1.385721206665039;
0.0;0.0;0.0;0.0;1.3958320617675781;
0.0;0.0;0.0;0.0;1.4059350490570068;
0.0;0.0;0.0;0.0;1.4160561561584473;
0.0;0.0;0.0;0.0;1.4261631965637207;
0.0;0.0;0.0;0.0;1.4362761974334717;
0.0;0.0;0.0;0.0;1.4463810920715332;
0.0;0.0;0.0;0.0;1.4564950466156006;
0.0;0.0;0.0;0.0;1.4667232036590576;
0.0;0.0;0.0;0.0;1.4767200946807861;
0.0;0.0;0.0;0.0;1.48683500289917;
0.0;0.0;0.0;0.0;1.4969370365142822;
0.0;0.0;0.0;0.0;1.5070631504058838;
0.0;0.0;0.0;0.0;1.5171611309051514;
0.0;0.0;0.0;0.0;1.5272750854492188;
0.0;0.0;0.0;0.0;1.5373821258544922;
0.0;0.0;0.0;0.0;1.5474932193756104;
0.0;0.0;0.0;0.0;1.557603120803833;
0.0;0.0;0.0;0.0;1.56770920753479;
0.0;0.0;0.0;0.0;1.5780220031738281;
0.0;0.0;0.0;0.0;1.5881340503692627;
0.0;0.0;0.0;0.0;1.5982320308685303;
0.0;0.0;0.0;0.0;1.608321189880371;
0.0;0.0;0.0;0.0;1.6184329986572266;
0.0;0.0;0.0;0.0;1.6283750534057617;
0.0;0.0;0.0;0.0;1.6384871006011963;
0.0;0.0;0.0;0.0;1.648712158203125;
0.0;0.0;0.0;0.0;1.658905029296875;
0.0;0.0;0.0;0.0;1.6692540645599365;
0.0;0.0;0.0;0.0;1.6791951656341553;
0.0;0.0;0.0;0.0;1.6890830993652344;
0.0;0.0;0.0;0.0;1.6991631984710693;
0.0;0.0;0.0;0.0;1.709261178970337;
0.0;0.0;0.0;0.0;1.719374179840088;
0.0;0.0;0.0;0.0;1.7294831275939941;
0.0;0.0;0.0;0.0;1.7395970821380615;
0.0;0.0;0.0;0.0;1.7497141361236572;
0.0;0.0;0.0;0.0;1.7598180770874023;
0.0;0.0;0.0;0.0;1.7699332237243652;
0.0;0.0;0.0;0.0;1.780245065689087;
0.0;0.0;0.0;0.0;1.7903521060943604;
0.0;0.0;0.0;0.0;1.8004631996154785;
0.0;0.0;0.0;0.0;1.8106391429901123;
0.0;0.0;0.0;0.0;1.8209261894226074;
0.0;0.0;0.0;0.0;1.8307762145996094;
0.0;0.0;0.0;0.0;1.8408551216125488;
0.0;0.0;0.0;0.0;1.8508210182189941;
0.0;0.0;0.0;0.0;1.8609230518341064;
0.0;0.0;0.0;0.0;1.8710310459136963;
0.0;0.0;0.0;0.0;1.8811490535736084;
0.0;0.0;0.0;0.0;1.8912742137908936;
0.0;0.0;0.0;0.0;1.9013721942901611;
0.0;0.0;0.0;0.0;1.9114789962768555;
0.0;0.0;0.0;0.0;1.9216251373291016;
0.0;0.0;0.0;0.0;1.931800127029419;
0.0;0.0;0.0;0.0;1.9419891834259033;
0.0;0.0;0.0;0.0;1.951923131942749;
0.0;0.0;0.0;0.0;1.9620420932769775;
0.0;0.0;0.0;0.0;1.9721550941467285;
0.0;0.0;0.0;0.0;1.982262134552002;
0.0;0.0;0.0;0.0;1.9925720691680908;
0.0;0.0;0.0;0.0;2.002690076828003;
0.0;0.0;0.0;0.0;2.01279616355896;
0.0;0.0;0.0;0.0;2.0231101512908936;
0.0;0.0;0.0;0.0;2.0332190990448;
0.0;0.0;0.0;0.0;2.0442230701446533;
0.0;0.0;0.0;0.0;2.0542402267456055;
0.0;0.0;0.0;0.0;2.064754009246826;
0.0;0.0;0.0;0.0;2.0737900733947754;
0.0;0.0;0.0;0.0;2.0838000774383545;
0.0;0.0;0.0;0.0;2.094074010848999;
0.0;0.0;0.0;0.0;2.1038811206817627;
0.0;0.0;0.0;0.0;2.113906145095825;
0.0;0.0;0.0;0.0;2.1239571571350098;
0.0;0.0;0.0;0.0;2.13395619392395;
0.0;0.0;0.0;0.0;2.1440250873565674;
0.0;0.0;0.0;0.0;2.1541450023651123;
0.0;0.0;0.0;0.0;2.1646652221679688;
0.0;0.0;0.0;0.0;2.174361228942871;
0.0;0.0;0.0;0.0;2.1844730377197266;
0.0;0.0;0.0;0.0;2.194679021835327;
0.0;0.0;0.0;0.0;2.204693078994751;
0.0;0.0;0.0;0.0;2.2148032188415527;
0.0;0.0;0.0;0.0;2.224910020828247;
0.0;0.0;0.0;0.0;2.2350242137908936;
0.0;0.0;0.0;0.0;2.2451400756835938;
0.0;0.0;0.0;0.0;2.2552490234375;
0.0;0.0;0.0;0.0;2.2653510570526123;
0.0;0.0;0.0;0.0;2.275473117828369;
0.0;0.0;0.0;0.0;2.2855820655822754;
0.0;0.0;0.0;0.0;2.295692205429077;
0.0;0.0;0.0;0.0;2.305807113647461;
0.0;0.0;0.0;0.0;2.315915107727051;
0.0;0.0;0.0;0.0;2.3260250091552734;
0.0;0.0;0.0;0.0;2.33613920211792;
0.0;0.0;0.0;0.0;2.346248149871826;
0.0;0.0;0.0;0.0;2.3563601970672607;
0.0;0.0;0.0;0.0;2.3664631843566895;
0.0;0.0;0.0;0.0;2.3765830993652344;
0.0;0.0;0.0;0.0;2.386728048324585;
0.0;0.0;0.0;0.0;2.396799087524414;
0.0;0.0;0.0;0.0;2.4069130420684814;
0.0;0.0;0.0;0.0;2.417026996612549;
0.0;0.0;0.0;0.0;2.427133083343506;
0.0;0.0;0.0;0.0;2.437242031097412;
0.0;0.0;0.0;0.0;2.447357177734375;
0.0;0.0;0.0;0.0;2.4574711322784424;
0.0;0.0;0.0;0.0;2.4675722122192383;
0.0;0.0;0.0;0.0;2.4776930809020996;
0.0;0.0;0.0;0.0;2.487788200378418;
0.0;0.0;0.0;0.0;2.4979121685028076;
0.0;0.0;0.0;0.0;2.508193016052246;
0.0;0.0;0.0;0.0;2.518324136734009;
0.0;0.0;0.0;0.0;2.5282421112060547;
0.0;0.0;0.0;0.0;2.5383541584014893;
0.0;0.0;0.0;0.0;2.5484681129455566;
0.0;0.0;0.0;0.0;2.558622121810913;
0.0;0.0;0.0;0.0;2.56868314743042;
0.0;0.0;0.0;0.0;2.5787930488586426;
0.0;0.0;0.0;0.0;2.5889031887054443;
0.0;0.0;0.0;0.0;2.5990211963653564;
0.0;0.0;0.0;0.0;2.6091270446777344;
0.0;0.0;0.0;0.0;2.619453191757202;
0.0;0.0;0.0;0.0;2.629552125930786;
0.0;0.0;0.0;0.0;2.639660120010376;
0.0;0.0;0.0;0.0;2.6498870849609375;
0.0;0.0;0.0;0.0;2.659990072250366;
0.0;0.0;0.0;0.0;2.6699841022491455;
0.0;0.0;0.0;0.0;2.6799631118774414;
0.0;0.0;0.0;0.0;2.6900601387023926;
0.0;0.0;0.0;0.0;2.7001211643218994;
0.0;0.0;0.0;0.0;2.710231065750122;
0.0;0.0;0.0;0.0;2.7203431129455566;
0.0;0.0;0.0;0.0;2.7304470539093018;
0.0;0.0;0.0;0.0;2.7405691146850586;
0.0;0.0;0.0;0.0;2.750681161880493;
0.0;0.0;0.0;0.0;2.7607810497283936;
0.0;0.0;0.0;0.0;2.7709081172943115;
0.0;0.0;0.0;0.0;2.7810161113739014;
0.0;0.0;0.0;0.0;2.7911250591278076;
0.0;0.0;0.0;0.0;2.8012311458587646;
0.0;0.0;0.0;0.0;2.8113391399383545;
0.0;0.0;0.0;0.0;2.821451187133789;
0.0;0.0;0.0;0.0;2.83156418800354;
0.0;0.0;0.0;0.0;2.841670036315918;
0.0;0.0;0.0;0.0;2.8517889976501465;
0.0;0.0;0.0;0.0;2.8618991374969482;
0.0;0.0;0.0;0.0;2.8720149993896484;
0.0;0.0;0.0;0.0;2.8821182250976562;
0.0;0.0;0.0;0.0;2.892228126525879;
0.0;0.0;0.0;0.0;2.902337074279785;
0.0;0.0;0.0;0.0;2.9124491214752197;
0.0;0.0;0.0;0.0;2.922560214996338;
0.0;0.0;0.0;0.0;2.9328761100769043;
0.0;0.0;0.0;0.0;2.9429891109466553;
0.0;0.0;0.0;0.0;2.953301191329956;
0.0;0.0;0.0;0.0;2.9634251594543457;
0.0;0.0;0.0;0.0;2.9735231399536133;
0.0;0.0;0.0;0.0;2.983774185180664;
0.0;0.0;0.0;0.0;2.9937751293182373;
0.0;0.0;0.0;0.0;3.0040571689605713;
0.0;0.0;0.0;0.0;3.014069080352783;
0.0;0.0;0.0;0.0;3.0240821838378906;
0.0;0.0;0.0;0.0;3.0341451168060303;
0.0;0.0;0.0;0.0;3.0441551208496094;
0.0;0.0;0.0;0.0;3.054204225540161;
0.0;0.0;0.0;0.0;3.0646111965179443;
0.0;0.0;0.0;0.0;3.074259042739868;
