Motor Speed [RPM];Reported Torque [Nm];Phase Current [A RMS];Mechanical Power [kW];Speed (VCU) [km/h];Total Distance (VCU) [km];Time [s];
0.0;0.0;0.0;0.0;0.0;0.0;0.006251096725463867;
0.0;0.0;0.0;0.0;0.0;0.0;0.01624011993408203;
0.0;0.0;0.0;0.0;0.0;0.0;0.02622818946838379;
0.0;0.0;0.0;0.0;0.0;0.0;0.036234140396118164;
0.0;0.0;0.0;0.0;0.0;0.0;0.04624009132385254;
0.0;0.0;0.0;0.0;0.0;0.0;0.0562441349029541;
0.0;0.0;0.0;0.0;0.0;0.0;0.06625199317932129;
0.0;0.0;0.0;0.0;0.0;0.0;0.0762491226196289;
0.0;0.0;0.0;0.0;0.0;0.0;0.08626604080200195;
0.0;0.0;0.0;0.0;0.0;0.0;0.09626197814941406;
0.0;0.0;0.0;0.0;0.0;0.0;0.1062631607055664;
0.0;0.0;0.0;0.0;0.0;0.0;0.11626720428466797;
0.0;0.0;0.0;0.0;0.0;0.0;0.12627100944519043;
0.0;0.0;0.0;0.0;0.0;0.0;0.13626503944396973;
0.0;0.0;0.0;0.0;0.0;0.0;0.14628314971923828;
0.0;0.0;0.0;0.0;0.0;0.0;0.15626907348632812;
0.0;0.0;0.0;0.0;0.0;0.0;0.16628313064575195;
0.0;0.0;0.0;0.0;0.0;0.0;0.17628216743469238;
0.0;0.0;0.0;0.0;0.0;0.0;0.18630099296569824;
0.0;0.0;0.0;0.0;0.0;0.0;0.19629120826721191;
0.0;0.0;0.0;0.0;0.0;0.0;0.2062981128692627;
0.0;0.0;0.0;0.0;0.0;0.0;0.21628999710083008;
0.0;0.0;0.0;0.0;0.0;0.0;0.22630715370178223;
0.0;0.0;0.0;0.0;0.0;0.0;0.23629999160766602;
0.0;0.0;0.0;0.0;0.0;0.0;0.24631404876708984;
0.0;0.0;0.0;0.0;0.0;0.0;0.2563040256500244;
0.0;0.0;0.0;0.0;0.0;0.0;0.26630306243896484;
0.0;0.0;0.0;0.0;0.0;0.0;0.2763040065765381;
0.0;0.0;0.0;0.0;0.0;0.0;0.28637099266052246;
0.0;0.0;0.0;0.0;0.0;0.0;0.2963399887084961;
0.0;0.0;0.0;0.0;0.0;0.0;0.3063530921936035;
0.0;0.0;0.0;0.0;0.0;0.0;0.31631016731262207;
0.0;0.0;0.0;0.0;0.0;0.0;0.32631421089172363;
0.0;0.0;0.0;0.0;0.0;0.0;0.3363330364227295;
0.0;0.0;0.0;0.0;0.0;0.0;0.3463311195373535;
0.0;0.0;0.0;0.0;0.0;0.0;0.35634303092956543;
0.0;0.0;0.0;0.0;0.0;0.0;0.3663480281829834;
0.0;0.0;0.0;0.0;0.0;0.0;0.376331090927124;
0.0;0.0;0.0;0.0;0.0;0.0;0.3863370418548584;
0.0;0.0;0.0;0.0;0.0;0.0;0.3963510990142822;
0.0;0.0;0.0;0.0;0.0;0.0;0.406358003616333;
0.0;0.0;0.0;0.0;0.0;0.0;0.4163479804992676;
0.0;0.0;0.0;0.0;0.0;0.0;0.42638611793518066;
0.0;0.0;0.0;0.0;0.0;0.0;0.4364161491394043;
0.0;0.0;0.0;0.0;0.0;0.0;0.4464411735534668;
0.0;0.0;0.0;0.0;0.0;0.0;0.456881046295166;
0.0;0.0;0.0;0.0;0.0;0.0;0.46657299995422363;
0.0;0.0;0.0;0.0;0.0;0.0;0.4763669967651367;
0.0;0.0;0.0;0.0;0.0;0.0;0.48637819290161133;
0.0;0.0;0.0;0.0;0.0;0.0;0.4963841438293457;
0.0;0.0;0.0;0.0;0.0;0.0;0.5063800811767578;
0.0;0.0;0.0;0.0;0.0;0.0;0.5163981914520264;
0.0;0.0;0.0;0.0;0.0;0.0;0.5263872146606445;
0.0;0.0;0.0;0.0;0.0;0.0;0.5363931655883789;
0.0;0.0;0.0;0.0;0.0;0.0;0.546403169631958;
0.0;0.0;0.0;0.0;0.0;0.0;0.5564000606536865;
0.0;0.0;0.0;0.0;0.0;0.0;0.5663971900939941;
0.0;0.0;0.0;0.0;0.0;0.0;0.576397180557251;
0.0;0.0;0.0;0.0;0.0;0.0;0.5864300727844238;
0.0;0.0;0.0;0.0;0.0;0.0;0.5964012145996094;
0.0;0.0;0.0;0.0;0.0;0.0;0.6064140796661377;
0.0;0.0;0.0;0.0;0.0;0.0;0.6164159774780273;
0.0;0.0;0.0;0.0;0.0;0.0;0.6264240741729736;
0.0;0.0;0.0;0.0;0.0;0.0;0.6364181041717529;
0.0;0.0;0.0;0.0;0.0;0.0;0.6464049816131592;
0.0;0.0;0.0;0.0;0.0;0.0;0.6564111709594727;
0.0;0.0;0.0;0.0;0.0;0.0;0.6664161682128906;
0.0;0.0;0.0;0.0;0.0;0.0;0.6764280796051025;
0.0;0.0;0.0;0.0;0.0;0.0;0.6864299774169922;
0.0;0.0;0.0;0.0;0.0;0.0;0.6964221000671387;
0.0;0.0;0.0;0.0;0.0;0.0;0.7064290046691895;
0.0;0.0;0.0;0.0;0.0;0.0;0.7164261341094971;
0.0;0.0;0.0;0.0;0.0;0.0;0.7264330387115479;
0.0;0.0;0.0;0.0;0.0;0.0;0.7364351749420166;
0.0;0.0;0.0;0.0;0.0;0.0;0.746434211730957;
0.0;0.0;0.0;0.0;0.0;0.0;0.7564411163330078;
0.0;0.0;0.0;0.0;0.0;0.0;0.766477108001709;
0.0;0.0;0.0;0.0;0.0;0.0;0.7764661312103271;
0.0;0.0;0.0;0.0;0.0;0.0;0.7864940166473389;
0.0;0.0;0.0;0.0;0.0;0.0;0.7965312004089355;
0.0;0.0;0.0;0.0;0.0;0.0;0.8065550327301025;
0.0;0.0;0.0;0.0;0.0;0.0;0.816662073135376;
0.0;0.0;0.0;0.0;0.0;0.0;0.8264980316162109;
0.0;0.0;0.0;0.0;0.0;0.0;0.8366081714630127;
0.0;0.0;0.0;0.0;0.0;0.0;0.8467190265655518;
0.0;0.0;0.0;0.0;0.0;0.0;0.8565471172332764;
0.0;0.0;0.0;0.0;0.0;0.0;0.8666501045227051;
0.0;0.0;0.0;0.0;0.0;0.0;0.8764801025390625;
0.0;0.0;0.0;0.0;0.0;0.0;0.8865900039672852;
0.0;0.0;0.0;0.0;0.0;0.0;0.8966951370239258;
0.0;0.0;0.0;0.0;0.0;0.0;0.9064640998840332;
0.0;0.0;0.0;0.0;0.0;0.0;0.9164841175079346;
0.0;0.0;0.0;0.0;0.0;0.0;0.9266262054443359;
0.0;0.0;0.0;0.0;0.0;0.0;0.9364781379699707;
0.0;0.0;0.0;0.0;0.0;0.0;0.9465789794921875;
0.0;0.0;0.0;0.0;0.0;0.0;0.9568390846252441;
0.0;0.0;0.0;0.0;0.0;0.0;0.9665219783782959;
0.0;0.0;0.0;0.0;0.0;0.0;0.9765110015869141;
0.0;0.0;0.0;0.0;0.0;0.0;0.9865221977233887;
0.0;0.0;0.0;0.0;0.0;0.0;0.99652099609375;
0.0;0.0;0.0;0.0;0.0;0.0;1.0065770149230957;
0.0;0.0;0.0;0.0;0.0;0.0;1.016672134399414;
0.0;0.0;0.0;0.0;0.0;0.0;1.0266261100769043;
0.0;0.0;0.0;0.0;0.0;0.0;1.0365262031555176;
0.0;0.0;0.0;0.0;0.0;0.0;1.0465140342712402;
0.0;0.0;0.0;0.0;0.0;0.0;1.0565361976623535;
0.0;0.0;0.0;0.0;0.0;0.0;1.0665240287780762;
0.0;0.0;0.0;0.0;0.0;0.0;1.0765280723571777;
0.0;0.0;0.0;0.0;0.0;0.0;1.0865662097930908;
0.0;0.0;0.0;0.0;0.0;0.0;1.09651517868042;
0.0;0.0;0.0;0.0;0.0;0.0;1.1065340042114258;
0.0;0.0;0.0;0.0;0.0;0.0;1.1165571212768555;
0.0;0.0;0.0;0.0;0.0;0.0;1.1265430450439453;
0.0;0.0;0.0;0.0;0.0;0.0;1.1365561485290527;
0.0;0.0;0.0;0.0;0.0;0.0;1.1465480327606201;
0.0;0.0;0.0;0.0;0.0;0.0;1.1565492153167725;
0.0;0.0;0.0;0.0;0.0;0.0;1.1665401458740234;
0.0;0.0;0.0;0.0;0.0;0.0;1.1765391826629639;
0.0;0.0;0.0;0.0;0.0;0.0;1.1865530014038086;
0.0;0.0;0.0;0.0;0.0;0.0;1.1965630054473877;
0.0;0.0;0.0;0.0;0.0;0.0;1.2065629959106445;
0.0;0.0;0.0;0.0;0.0;0.0;1.2165741920471191;
0.0;0.0;0.0;0.0;0.0;0.0;1.226560115814209;
0.0;0.0;0.0;0.0;0.0;0.0;1.2365710735321045;
0.0;0.0;0.0;0.0;0.0;0.0;1.2465591430664062;
0.0;0.0;0.0;0.0;0.0;0.0;1.256592035293579;
0.0;0.0;0.0;0.0;0.0;0.0;1.2665901184082031;
0.0;0.0;0.0;0.0;0.0;0.0;1.2765800952911377;
0.0;0.0;0.0;0.0;0.0;0.0;1.2865831851959229;
0.0;0.0;0.0;0.0;0.0;0.0;1.2965750694274902;
0.0;0.0;0.0;0.0;0.0;0.0;1.3065969944000244;
0.0;0.0;0.0;0.0;0.0;0.0;1.3166100978851318;
0.0;0.0;0.0;0.0;0.0;0.0;1.326592206954956;
0.0;0.0;0.0;0.0;0.0;0.0;1.3366069793701172;
0.0;0.0;0.0;0.0;0.0;0.0;1.34660005569458;
0.0;0.0;0.0;0.0;0.0;0.0;1.356619119644165;
0.0;0.0;0.0;0.0;0.0;0.0;1.3665990829467773;
0.0;0.0;0.0;0.0;0.0;0.0;1.3766160011291504;
0.0;0.0;0.0;0.0;0.0;0.0;1.386613130569458;
0.0;0.0;0.0;0.0;0.0;0.0;1.3966331481933594;
0.0;0.0;0.0;0.0;0.0;0.0;1.4066221714019775;
0.0;0.0;0.0;0.0;0.0;0.0;1.416626214981079;
0.0;0.0;0.0;0.0;0.0;0.0;1.42661714553833;
0.0;0.0;0.0;0.0;0.0;0.0;1.4366381168365479;
0.0;0.0;0.0;0.0;0.0;0.0;1.446667194366455;
0.0;0.0;0.0;0.0;0.0;0.0;1.4569180011749268;
0.0;0.0;0.0;0.0;0.0;0.0;1.4666690826416016;
0.0;0.0;0.0;0.0;0.0;0.0;1.4766390323638916;
0.0;0.0;0.0;0.0;0.0;0.0;1.486647129058838;
0.0;0.0;0.0;0.0;0.0;0.0;1.4966511726379395;
0.0;0.0;0.0;0.0;0.0;0.0;1.5068960189819336;
0.0;0.0;0.0;0.0;0.0;0.0;1.5166540145874023;
0.0;0.0;0.0;0.0;0.0;0.0;1.5268590450286865;
0.0;0.0;0.0;0.0;0.0;0.0;1.5368690490722656;
0.0;0.0;0.0;0.0;0.0;0.0;1.5466561317443848;
0.0;0.0;0.0;0.0;0.0;0.0;1.5566630363464355;
0.0;0.0;0.0;0.0;0.0;0.0;1.5666661262512207;
0.0;0.0;0.0;0.0;0.0;0.0;1.5766551494598389;
0.0;0.0;0.0;0.0;0.0;0.0;1.586665153503418;
0.0;0.0;0.0;0.0;0.0;0.0;1.5968501567840576;
0.0;0.0;0.0;0.0;0.0;0.0;1.606675148010254;
0.0;0.0;0.0;0.0;0.0;0.0;1.6166901588439941;
0.0;0.0;0.0;0.0;0.0;0.0;1.6266729831695557;
0.0;0.0;0.0;0.0;0.0;0.0;1.6366870403289795;
0.0;0.0;0.0;0.0;0.0;0.0;1.6466782093048096;
0.0;0.0;0.0;0.0;0.0;0.0;1.6566741466522217;
0.0;0.0;0.0;0.0;0.0;0.0;1.666701078414917;
0.0;0.0;0.0;0.0;0.0;0.0;1.6766951084136963;
0.0;0.0;0.0;0.0;0.0;0.0;1.6866910457611084;
0.0;0.0;0.0;0.0;0.0;0.0;1.6967060565948486;
0.0;0.0;0.0;0.0;0.0;0.0;1.7067220211029053;
0.0;0.0;0.0;0.0;0.0;0.0;1.7167510986328125;
0.0;0.0;0.0;0.0;0.0;0.0;1.726776123046875;
0.0;0.0;0.0;0.0;0.0;0.0;1.7367479801177979;
0.0;0.0;0.0;0.0;0.0;0.0;1.7468609809875488;
0.0;0.0;0.0;0.0;0.0;0.0;1.756978988647461;
0.0;0.0;0.0;0.0;0.0;0.0;1.7668089866638184;
